	Heit(m)	air(kg/m3)
469	469000.0	8.149e-13
470	470000.0	8.01e-13
471	471000.0	7.873e-13
472	472000.0	7.739e-13
473	473000.0	7.607999999999999e-13
474	474000.0	7.478e-13
475	475000.0	7.351e-13
476	476000.0	7.226999999999999e-13
477	477000.0	7.104e-13
478	478000.0	6.983999999999999e-13
479	479000.0	6.865999999999999e-13
480	480000.0	6.750000000000001e-13
481	481000.0	6.637e-13
482	482000.0	6.525e-13
483	483000.0	6.414999999999999e-13
484	484000.0	6.308e-13
485	485000.0	6.202e-13
486	486000.0	6.098e-13
487	487000.0	5.996e-13
488	488000.0	5.895999999999999e-13
489	489000.0	5.797e-13
490	490000.0	5.701000000000001e-13
491	491000.0	5.606e-13
492	492000.0	5.513e-13
493	493000.0	5.421e-13
494	494000.0	5.331e-13
495	495000.0	5.243e-13
496	496000.0	5.156e-13
497	497000.0	5.071e-13
498	498000.0	4.987e-13
499	499000.0	4.905e-13
500	500000.0	4.824e-13
501	501000.0	4.745e-13
502	502000.0	4.667e-13
503	503000.0	4.591e-13
504	504000.0	4.5159999999999996e-13
505	505000.0	4.442e-13
506	506000.0	4.369e-13
507	507000.0	4.298e-13
508	508000.0	4.228e-13
509	509000.0	4.159e-13
510	510000.0	4.092e-13
511	511000.0	4.025e-13
512	512000.0	3.96e-13
513	513000.0	3.8960000000000003e-13
514	514000.0	3.833e-13
515	515000.0	3.7710000000000003e-13
516	516000.0	3.711e-13
517	517000.0	3.6510000000000003e-13
518	518000.0	3.592e-13
519	519000.0	3.5349999999999996e-13
520	520000.0	3.478e-13
521	521000.0	3.423e-13
522	522000.0	3.3680000000000004e-13
523	523000.0	3.3140000000000003e-13
524	524000.0	3.262e-13
525	525000.0	3.21e-13
526	526000.0	3.159e-13
527	527000.0	3.1089999999999997e-13
528	528000.0	3.06e-13
529	529000.0	3.011e-13
530	530000.0	2.964e-13
531	531000.0	2.917e-13
532	532000.0	2.871e-13
533	533000.0	2.826e-13
534	534000.0	2.782e-13
535	535000.0	2.738e-13
536	536000.0	2.696e-13
537	537000.0	2.6539999999999996e-13
538	538000.0	2.612e-13
539	539000.0	2.572e-13
540	540000.0	2.532e-13
541	541000.0	2.4929999999999996e-13
542	542000.0	2.454e-13
543	543000.0	2.416e-13
544	544000.0	2.379e-13
545	545000.0	2.342e-13
546	546000.0	2.306e-13
547	547000.0	2.2709999999999999e-13
548	548000.0	2.2360000000000003e-13
549	549000.0	2.202e-13
550	550000.0	2.1690000000000001e-13
551	551000.0	2.1360000000000002e-13
552	552000.0	2.1030000000000002e-13
553	553000.0	2.071e-13
554	554000.0	2.0400000000000001e-13
555	555000.0	2.009e-13
556	556000.0	1.979e-13
557	557000.0	1.949e-13
558	558000.0	1.92e-13
559	559000.0	1.891e-13
560	560000.0	1.863e-13
561	561000.0	1.835e-13
562	562000.0	1.807e-13
563	563000.0	1.78e-13
564	564000.0	1.754e-13
565	565000.0	1.7279999999999998e-13
566	566000.0	1.7020000000000002e-13
567	567000.0	1.6769999999999998e-13
568	568000.0	1.6529999999999999e-13
569	569000.0	1.628e-13
570	570000.0	1.604e-13
571	571000.0	1.581e-13
572	572000.0	1.558e-13
573	573000.0	1.535e-13
574	574000.0	1.513e-13
575	575000.0	1.491e-13
576	576000.0	1.469e-13
577	577000.0	1.448e-13
578	578000.0	1.4270000000000001e-13
579	579000.0	1.407e-13
580	580000.0	1.386e-13
581	581000.0	1.3670000000000001e-13
582	582000.0	1.347e-13
583	583000.0	1.328e-13
584	584000.0	1.309e-13
585	585000.0	1.29e-13
586	586000.0	1.272e-13
587	587000.0	1.254e-13
588	588000.0	1.236e-13
589	589000.0	1.219e-13
590	590000.0	1.202e-13
591	591000.0	1.185e-13
592	592000.0	1.169e-13
593	593000.0	1.152e-13
594	594000.0	1.1360000000000002e-13
595	595000.0	1.1210000000000001e-13
596	596000.0	1.105e-13
597	597000.0	1.0899999999999999e-13
598	598000.0	1.075e-13
599	599000.0	1.06e-13
600	600000.0	1.046e-13
601	601000.0	1.031e-13
602	602000.0	1.0170000000000001e-13
603	603000.0	1.003e-13
604	604000.0	9.898e-14
605	605000.0	9.764e-14
606	606000.0	9.633e-14
607	607000.0	9.503e-14
608	608000.0	9.376e-14
609	609000.0	9.251e-14
610	610000.0	9.127e-14
611	611000.0	9.006e-14
612	612000.0	8.887e-14
613	613000.0	8.769e-14
614	614000.0	8.654e-14
615	615000.0	8.540000000000001e-14
616	616000.0	8.428e-14
617	617000.0	8.318e-14
618	618000.0	8.209000000000001e-14
619	619000.0	8.103e-14
620	620000.0	7.997999999999999e-14
621	621000.0	7.893999999999999e-14
622	622000.0	7.793e-14
623	623000.0	7.693e-14
624	624000.0	7.593999999999999e-14
625	625000.0	7.497e-14
626	626000.0	7.402000000000001e-14
627	627000.0	7.308e-14
628	628000.0	7.215999999999999e-14
629	629000.0	7.125e-14
630	630000.0	7.035e-14
631	631000.0	6.946999999999999e-14
632	632000.0	6.859999999999999e-14
633	633000.0	6.775e-14
